index,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,accommodates,elev,entire_home_apt,hotel_room,private_room,shared_room
32,23441,Charming at Montmartre & rue Lepic- mobility lease,91706,Elise,Buttes-Montmartre,48.88408,2.33478,Entire home/apt,70,30,81,1,99,4,2,False,1,0,0,0
33,24260,Lovely place near Champs Elysees,98012,Emmanuel,Batignolles-Monceau,48.8809,2.30388,Entire home/apt,75,30,30,1,315,0,2,True,1,0,0,0
35,26827,UN LOFT A PARIS BELLEVILLE,114407,Jrouma,Buttes-Chaumont,48.87456,2.38532,Entire home/apt,97,7,80,2,253,0,2,False,1,0,0,0
36,27008,Cosy room in a loft - Père Lachaise,115574,Catherine,Ménilmontant,48.86458,2.39735,Private room,50,3,10,2,314,0,2,False,0,0,1,0
37,27288,"Beautiful, huge, very Parisian",77087,Simone,Buttes-Chaumont,48.88564,2.37205,Entire home/apt,117,4,58,1,36,1,4,False,1,0,0,0
38,31435,Stylish Private Suite + Sunny Balcony Paris,135024,Kay,Buttes-Montmartre,48.89153,2.35359,Private room,75,4,48,2,253,0,2,False,0,0,1,0
39,31652,Magnifique studio parisien,134793,Claire,Observatoire,48.83906,2.32168,Entire home/apt,90,1,53,2,315,2,1,False,1,0,0,0
40,32082,BEAUTIFUL APARTMENT PARIS BASTILLE,138401,Michel,Reuilly,48.85069,2.37311,Entire home/apt,153,3,366,1,255,1,2,False,1,0,0,0
41,33114,"1-Bedroom: Paris 5th, Latin Quarter",143558,Axel,Panthéon,48.83936,2.35849,Entire home/apt,88,100,70,1,68,0,2,False,1,0,0,0
42,33210,PERFECT LOCATION! GREAT RATES! BEST,76961,Karen,Palais-Bourbon,48.85652,2.32796,Entire home/apt,129,30,90,1,365,0,2,False,1,0,0,0
43,33814,"2/3 rooms70m2 PARIS quiet, bright, 2 big balconies",146066,Léna,Observatoire,48.82399,2.32151,Entire home/apt,160,4,48,1,309,0,4,True,1,0,0,0
45,35065,Lovely Loft Saint-Germain des Pres,150876,Benoit,Palais-Bourbon,48.85284,2.32517,Entire home/apt,179,1,650,1,107,71,2,False,1,0,0,0
46,35697,Very nice flat batignolles district,153430,Claire,Batignolles-Monceau,48.88707,2.31663,Entire home/apt,115,2,1,1,173,0,4,False,1,0,0,0
48,38650,Bastille/10m2 à la Roquette,153645,Marie-José,Popincourt,48.85367,2.37656,Entire home/apt,45,7,12,2,315,0,2,False,1,0,0,0
49,39651,Charming Studio close to Bastille,170325,Carole,Reuilly,48.8491,2.38975,Entire home/apt,59,5,49,1,75,5,2,True,1,0,0,0
50,39666,Paris 5 Star Luxury Ile Saint-Louis #7510404177410,170397,Judith,Hôtel-de-Ville,48.85088,2.35683,Entire home/apt,676,2,41,1,316,0,2,False,1,0,0,0
51,39948,COSY INDEPENDENT ROOM IN CENTRAL PARIS,171483,Aliyah & Philippe,Bourse,48.87068,2.3446,Entire home/apt,90,4,69,1,287,3,2,False,1,0,0,0
53,40174,"Great, central Paris rental!",172460,Leila,Hôtel-de-Ville,48.85348,2.36305,Entire home/apt,90,2,19,1,329,0,2,False,1,0,0,0
55,41106,"STYLE&COMFORT@LE MARAIS, what else?",177387,LetsgetSirius,Hôtel-de-Ville,48.85634,2.35695,Entire home/apt,160,5,82,1,24,5,3,False,1,0,0,0
56,41745,Charmant loft en duplex au calme da,182588,Maxence,Entrepôt,48.87055,2.37112,Entire home/apt,79,365,9,1,365,0,2,False,1,0,0,0
57,42348,tres beau studio à trés bon PRIX,184942,Max,Opéra,48.87826,2.33771,Entire home/apt,88,1,113,1,253,17,2,False,1,0,0,0
59,43027,Montmartre by foot ! Beautiful & cosy 70m2,187799,Charlotte,Batignolles-Monceau,48.88565,2.32521,Entire home/apt,150,3,64,1,357,0,4,False,1,0,0,0
60,43355,STUDIO REPUBLIQUE  CANAL  ST MARTIN,187798,Chris,Entrepôt,48.86954,2.36702,Entire home/apt,50,30,8,1,222,0,2,False,1,0,0,0
61,43500,MONTMARTRE SACRE COEUR,152242,Delphine,Buttes-Montmartre,48.88489,2.343,Entire home/apt,140,30,3,69,338,1,4,False,1,0,0,0
62,44130,Le Marais Place des Vosges,152242,Delphine,Hôtel-de-Ville,48.85539,2.36306,Entire home/apt,158,30,53,69,323,0,4,True,1,0,0,0
64,45630,room in anice 40m2 flat/great view!,202804,Regis,Buttes-Montmartre,48.88946,2.35867,Private room,36,3,58,1,42,0,2,True,0,0,1,0
65,45661,"Very Heart of Paris, Charming",202918,Patrice,Bourse,48.87006,2.34543,Entire home/apt,50,150,143,1,265,0,4,False,1,0,0,0
67,47155,Charming appartment in paris 16 ème,212393,Nina,Passy,48.8445,2.25761,Entire home/apt,150,5,48,1,89,1,3,False,1,0,0,0
68,48584,Le Marais Beautreillis Place des Vosges,152242,Delphine,Hôtel-de-Ville,48.85316,2.36474,Entire home/apt,149,365,37,69,364,0,4,False,1,0,0,0
69,50677,Sunny 2rooms  in Heart  of  Marais,232987,Mami,Hôtel-de-Ville,48.85677,2.35571,Entire home/apt,65,4,111,1,283,2,2,False,1,0,0,0
70,50738,Montmartre Studio 8 (bail meublées ou mobilité),37107,Michael,Buttes-Montmartre,48.88719,2.34735,Entire home/apt,85,30,34,4,253,1,2,False,1,0,0,0
71,53353,Rare 18th century washhouse convert,248319,Trixie,Buttes-Montmartre,48.88985,2.35066,Entire home/apt,143,2,19,1,323,1,4,False,1,0,0,0
72,53923,Le Marais' Best Kept Secret- 1BR/1B,252297,Carine,Temple,48.86082,2.36692,Entire home/apt,119,3,121,1,110,0,4,False,1,0,0,0
73,54377,Charming duplex flat (50m2) near subway (Line 12),247562,Nicolas,Buttes-Montmartre,48.88927,2.35903,Entire home/apt,81,3,51,1,306,12,3,True,1,0,0,0
74,55071,Amazing 1 bedroom near Montmartre,259503,Marion,Opéra,48.88047,2.3431,Entire home/apt,106,2,67,1,23,7,2,True,1,0,0,0
75,55239,"Luxury, Calm & Pleasure in 915 sqf.",260696,Joseph,Élysée,48.8726,2.31477,Entire home/apt,396,1,18,2,304,1,4,False,1,0,0,0
76,55348,TOP LUXURY MARAIS DESIGN STUDIO APT,261355,Virginia & Pascal,Hôtel-de-Ville,48.85614,2.35878,Entire home/apt,117,6,73,2,105,4,2,True,1,0,0,0
77,56662,180°view penthouse sunny terrace jacuzzi,268825,Sophie,Buttes-Chaumont,48.87386,2.38231,Entire home/apt,150,4,61,1,2,0,4,False,1,0,0,0
78,58569,centrally located flat with terrace,280433,Carolina,Entrepôt,48.87485,2.3507,Entire home/apt,86,4,0,1,362,0,2,False,1,0,0,0
79,59182,Champs Elysées at your feet - quiet 1bdr penthouse,193906,Pascale,Passy,48.87148,2.28996,Entire home/apt,80,2,206,1,335,5,2,True,1,0,0,0
80,59508,3 bdr Artist Studio in Montparnasse,266767,Armand,Observatoire,48.83292,2.33044,Entire home/apt,84,1,4,1,251,0,6,False,1,0,0,0
81,59959,"PARIS 19  : space, light and view with balcony",288512,Celine,Buttes-Chaumont,48.89368,2.38419,Entire home/apt,130,5,18,1,363,0,4,True,1,0,0,0
82,61016,THE AUTHENTIC PARISIAN BOBO-LOFT IN BELLEVILLE,295001,Francesca,Buttes-Chaumont,48.87322,2.3805,Entire home/apt,150,2,30,2,268,1,4,False,1,0,0,0
83,61259,Charming apartment Canal St Martin,296278,Virginie,Entrepôt,48.8764,2.36305,Entire home/apt,108,3,100,1,47,1,2,False,1,0,0,0
84,61459,Arc de Triomphe area Sweet Home,297618,Stéphanie,Batignolles-Monceau,48.87573,2.29381,Entire home/apt,90,5,165,2,98,1,4,True,1,0,0,0
85,63480,"Notre Dame Latin Quarter: 1BR Flat, Central Paris",309970,Paul,Panthéon,48.84965,2.34823,Entire home/apt,170,30,32,1,273,1,3,True,1,0,0,0
86,63881,GRACIOUS PENTHOUSE+BALCONY OVERLOOKING PANTHEON!,79843,Nadia,Panthéon,48.84751,2.35461,Entire home/apt,129,2,146,8,343,3,4,False,1,0,0,0
87,65916,Lovely studio in the Heart of Paris,322380,Carine & Davy,Entrepôt,48.87035,2.35786,Entire home/apt,69,7,102,1,198,2,2,False,1,0,0,0
88,69083,BIG DESIGNER STUDIO NEAR BUTTES CHAUMONT,295001,Francesca,Buttes-Chaumont,48.87518,2.3809,Entire home/apt,60,365,3,2,336,0,2,False,1,0,0,0
89,69269,Saint Germain Studio,346375,Henri,Palais-Bourbon,48.85626,2.32623,Entire home/apt,140,365,1,1,365,0,3,False,1,0,0,0
90,69588,Studio for 2 people max,349245,Philipp,Louvre,48.86371,2.33994,Entire home/apt,79,4,204,1,117,4,2,False,1,0,0,0
91,70586,Charming Comfortable Marais 1 Bedrm,277494,Frédéric,Temple,48.86103,2.35437,Entire home/apt,159,3,124,2,274,1,3,False,1,0,0,0
92,70858,2 storey flat near Les Gobelins,360583,Pascal,Gobelins,48.83692,2.34679,Entire home/apt,80,6,8,1,178,0,4,True,1,0,0,0
93,71495,secret charm 2-rooms Liberty apt,366238,Lo,Buttes-Chaumont,48.87983,2.39372,Entire home/apt,60,3,154,1,222,0,1,True,1,0,0,0
96,74561,Designer Marais Studio,383581,Cecile,Hôtel-de-Ville,48.85599,2.36228,Entire home/apt,55,30,18,5,253,0,2,False,1,0,0,0
97,75708,Independent Studio 30m2 Paris 20e Père Lachaise,402348,Faina,Ménilmontant,48.86991,2.40193,Entire home/apt,56,3,216,1,297,8,2,False,1,0,0,0
98,75709,Room Révolution in trendy Marais,402365,Marie-Christine,Temple,48.85783,2.36503,Private room,99,2,217,2,365,0,2,False,0,0,1,0
99,78366,Montmartre perfect flat for Family,420656,Sophie,Opéra,48.883,2.3348,Entire home/apt,110,4,76,1,89,5,5,True,1,0,0,0
100,79690,Le MARAIS  Vieille du Temple,152242,Delphine,Hôtel-de-Ville,48.8582,2.35804,Entire home/apt,149,30,12,69,321,0,4,False,1,0,0,0
101,80260,Nice studio in Jourdain's village,333548,Charlotte,Ménilmontant,48.87131,2.38848,Entire home/apt,50,2,203,1,2,8,3,False,1,0,0,0
102,80301,toits de Paris,433758,Genevieve,Panthéon,48.83918,2.34699,Private room,60,30,39,2,283,1,1,False,0,0,1,0
103,81033,Marais Luxe  High Ceiling 1 Br BAIL MOBILITE,438828,Polo,Hôtel-de-Ville,48.85844,2.35694,Entire home/apt,145,30,88,5,146,0,4,False,1,0,0,0
104,81453,Charming rooftop studio!,441750,Eriu,Popincourt,48.86082,2.37876,Entire home/apt,50,30,185,1,74,1,2,False,1,0,0,0
105,81615,Eiffel Tower Studio Paris,429406,Gwenael,Vaugirard,48.84906,2.29249,Entire home/apt,71,30,39,1,325,1,2,False,1,0,0,0
106,81870,Saint Germain Musee d'orsay,152242,Delphine,Luxembourg,48.85558,2.33119,Entire home/apt,135,365,1,69,364,0,2,False,1,0,0,0
107,84820,Bird's nest in Montmartre: Sun/view all over Paris,464019,Laure,Buttes-Montmartre,48.88238,2.33831,Entire home/apt,82,3,93,1,156,4,3,False,1,0,0,0
108,85145,Victor Hugo : ideal for lovers!,402365,Marie-Christine,Temple,48.85762,2.36349,Private room,125,2,74,2,365,0,2,False,0,0,1,0
109,86053,Charmful flat facing a gothic church,296615,Richard,Louvre,48.86033,2.34005,Entire home/apt,215,3,161,1,340,18,4,False,1,0,0,0
110,87481,"ST Germain 1 bed High ceiling ,AC and LIFT",438828,Polo,Luxembourg,48.85472,2.3393,Entire home/apt,175,30,24,5,320,3,4,False,1,0,0,0
111,91139,"Romantic Flat on mews, 1 Bedrm",492966,April,Gobelins,48.83052,2.35193,Entire home/apt,95,365,15,1,364,0,2,False,1,0,0,0
112,94270,Artist's atelier in Montparnasse,276063,Guglielmo,Observatoire,48.83572,2.33054,Entire home/apt,149,365,29,1,65,0,4,True,1,0,0,0
113,94711,SWEET APT... near Menilmontant,505518,Géraldine,Ménilmontant,48.86501,2.39532,Entire home/apt,55,7,13,1,314,0,2,True,1,0,0,0
114,95915,Apt de charme 2 pieces 35m terrasse,97702,Julie,Popincourt,48.85484,2.3897,Entire home/apt,80,2,13,1,165,1,2,False,1,0,0,0
115,97773,Loft/apt 1970sqft - Heart of Paris,517155,Barbara,Popincourt,48.85523,2.37332,Entire home/apt,344,13,39,1,67,0,6,False,1,0,0,0
117,105210,"Quiet, nice apt in ""Le Marais""m",546512,Michel,Temple,48.86346,2.35382,Entire home/apt,178,4,231,1,349,0,2,False,1,0,0,0
118,108591,Luxury 1600 sqft on Champs Elysees with A/C,561870,Madame D,Élysée,48.8742,2.297,Entire home/apt,449,30,25,4,364,0,5,False,1,0,0,0
119,109161,QUIET & COSY FLAT IN LATIN DISTRICT,564058,Marie-Odile,Panthéon,48.8445,2.35261,Entire home/apt,120,4,157,1,266,3,3,False,1,0,0,0
120,110322,Balcon au 5eme Ciel quiet romantic,433758,Genevieve,Panthéon,48.83913,2.3466,Entire home/apt,150,3,17,2,253,0,4,False,1,0,0,0
122,113011,Confortable flat - Ideal for 2 !,162708,Vérane & Thomas,Ménilmontant,48.87252,2.39298,Entire home/apt,39,6,10,1,1,1,2,False,1,0,0,0
123,114543,Charming 55m² flat - Eiffel Tower,581233,Frédéric,Vaugirard,48.8495,2.28936,Entire home/apt,109,4,55,1,237,1,2,False,1,0,0,0
124,115655,Family loft with a garden in Paris!,584977,Fabien And Rachael,Buttes-Montmartre,48.89187,2.36451,Entire home/apt,130,5,127,1,268,2,7,False,1,0,0,0
125,117964,Apartment  1 to 6 pers  Montmartre,595839,Tatiana,Buttes-Montmartre,48.88862,2.34908,Entire home/apt,150,3,6,1,315,0,5,False,1,0,0,0
126,120494,Romantic Hideout in Paris,606427,Amy,Gobelins,48.83063,2.35377,Entire home/apt,49,3,313,1,106,7,2,False,1,0,0,0
127,122179,Cirque d'hiver / Marais/ République,612687,Marie,Popincourt,48.86632,2.36711,Entire home/apt,105,4,192,2,41,0,3,False,1,0,0,0
128,122222,CHARMING STUDIO near BASTILLE,612215,Olivier,Popincourt,48.85353,2.38679,Entire home/apt,70,6,69,1,212,0,2,False,1,0,0,0
129,125686,Studio - Central Paris / Republique,624523,Cinderella,Entrepôt,48.87278,2.36478,Entire home/apt,49,30,147,1,201,3,1,True,1,0,0,0
130,130420,Charming Apartment 2BR in Paris 9e,641777,Yassine,Opéra,48.88073,2.34297,Entire home/apt,190,1,156,1,362,0,6,False,1,0,0,0
131,132994,charmant studio dans le marais,653074,Victoire,Temple,48.86341,2.35837,Entire home/apt,90,365,35,1,193,0,2,False,1,0,0,0
132,137112,Quiet Loft  Bastille-Père Lachaise,670637,Pablo,Popincourt,48.855,2.38802,Entire home/apt,65,2,192,1,314,6,4,False,1,0,0,0
133,137857,Nice and lovely flat ! Paris- 28m2,673733,Célia,Ménilmontant,48.85767,2.39566,Entire home/apt,44,4,10,1,11,2,2,False,1,0,0,0
134,138548,Romantic studio in center of Paris,676353,Danielle,Bourse,48.86358,2.35057,Entire home/apt,100,30,292,1,252,0,2,False,1,0,0,0
135,139074,Lovely Arc de Triomphe Studio!,4450132,Farinoush,Passy,48.87173,2.29071,Entire home/apt,99,30,11,1,222,1,2,False,1,0,0,0
136,139889,A summer house in Paris,630305,Philippe (Mario),Buttes-Chaumont,48.89232,2.37926,Entire home/apt,150,7,22,1,54,2,6,False,1,0,0,0
139,145473,Family friendly 80m2 heart of Paris,704379,Elodie Et Simon,Bourse,48.86558,2.35216,Entire home/apt,190,365,24,1,90,0,4,True,1,0,0,0
141,148885,Studio on a high floor Eiffel Tower,718576,Milena,Passy,48.85699,2.28813,Entire home/apt,180,60,44,5,127,2,2,True,1,0,0,0
142,150800,750 euros per month room,726311,Anne,Buttes-Chaumont,48.87505,2.3836,Private room,40,8,18,10,365,1,1,True,0,0,1,0
143,151020,Paris center beautiful 1 bedroom,727223,Cedric,Bourse,48.86469,2.34732,Entire home/apt,61,1,93,1,191,23,4,False,1,0,0,0
145,153190,Le Petit Paradis de Paris,736580,Chantal & Georges,Panthéon,48.85274,2.34396,Entire home/apt,150,7,80,1,16,2,2,False,1,0,0,0
146,153674,"Nice and modern 1br at the heart of Paris, nearby Canal St-Martin - Welkeys",739021,Catherine,Entrepôt,48.88303,2.366308,Entire home/apt,83,2,209,1,326,11,4,True,1,0,0,0
147,154292,"Stylish apt, designed by architect",137719,Mattis,Buttes-Chaumont,48.87562,2.38597,Entire home/apt,79,5,40,1,43,2,2,False,1,0,0,0
148,154984,PRIVATE BEDROOM TYPICAL PARIS APT 2,726311,Anne,Buttes-Chaumont,48.87424,2.38544,Private room,46,14,18,10,320,0,6,True,0,0,1,0
149,155072,ROOM WITH VIEW ON ALL PARIS/CENTRAL,726311,Anne,Buttes-Chaumont,48.8746,2.38487,Private room,50,2,12,10,365,2,2,False,0,0,1,0
150,156309,A deux pas de Montmartre ....,751415,Corto,Buttes-Montmartre,48.88599,2.35106,Entire home/apt,75,30,20,1,257,2,2,False,1,0,0,0
151,156649,Private Room - Pere Lachaise,209754,Antonio,Popincourt,48.86311,2.38591,Private room,89,2,1,1,365,0,2,False,0,0,1,0
154,161703,Very nice Parisian apartment,773449,Nosybe,Buttes-Montmartre,48.88541,2.34495,Private room,84,15,0,1,365,0,2,False,0,0,1,0
155,162163,Brand new Modern flat Central Paris Boutique Hotel,775000,Justin & Catherine,Élysée,48.87322,2.32589,Entire home/apt,140,1,749,1,340,59,4,False,1,0,0,0
156,163384,700 euros special lockdown price,726311,Anne,Buttes-Chaumont,48.87497,2.38483,Private room,50,14,18,10,365,0,2,True,0,0,1,0
159,167998,"Cosy luxe, central Paris.",469865,Louise,Louvre,48.86564,2.33184,Entire home/apt,280,1,138,1,354,8,4,False,1,0,0,0
160,168652,Appt 35m²  in Paris18e,803981,Elsa,Buttes-Montmartre,48.88857,2.35504,Entire home/apt,70,4,83,1,342,0,2,False,1,0,0,0
161,168695,studio flat by the Seine River -mobility lease,804158,Serge,Passy,48.84924,2.27496,Entire home/apt,70,60,14,1,265,4,2,True,1,0,0,0
162,170327,A cosy room in PARIS - above Canal,811980,Lyosha,Buttes-Chaumont,48.88702,2.37735,Private room,38,1,6,1,345,0,2,True,0,0,1,0
163,171159,Lovely little nest near the Opera!,193142,Carole,Élysée,48.87573,2.32662,Entire home/apt,59,3,334,1,9,13,2,False,1,0,0,0
164,171658,In the Chinese quarter of Paris,819015,David,Gobelins,48.82463,2.36274,Entire home/apt,70,7,9,1,253,0,3,False,1,0,0,0
165,175338,Beautiful apt for 2 - Eiffel Tower,738410,Olivier,Vaugirard,48.84907,2.30004,Entire home/apt,150,2,55,1,121,1,2,True,1,0,0,0
167,179817,STUDIO MONTPARNASSE WITH TERRACE - 5P,861010,Alain,Vaugirard,48.84393,2.31512,Entire home/apt,110,2,154,3,253,0,5,False,1,0,0,0
169,180627,Marais:great 2BR + 2 sleeping lofts,656386,Emanuele - Maria,Hôtel-de-Ville,48.8574,2.35766,Entire home/apt,142,90,20,23,263,0,6,False,1,0,0,0
170,180950,Charming  furnished studio in Paris,876958,Dominique,Temple,48.86774,2.35947,Entire home/apt,55,30,141,1,99,0,2,False,1,0,0,0
171,182744,Oh ! nice view ! - paris Center,872647,Jean François,Popincourt,48.85852,2.3698,Entire home/apt,130,3,146,1,65,4,4,True,1,0,0,0
172,185575,Peaceful Oasis in the Montmartre,398254,Heide,Buttes-Montmartre,48.89387,2.35023,Entire home/apt,69,3,230,1,9,11,2,True,1,0,0,0
174,186744,Nice Loft in the lively neighborhood of Belleville,897680,Philippe,Buttes-Chaumont,48.87475,2.37922,Entire home/apt,200,4,2,1,349,0,3,False,1,0,0,0
175,187570,Big Loft 170 m² Canal Saint Martin,902558,Marie,Entrepôt,48.87415,2.36389,Entire home/apt,149,5,15,1,55,1,5,False,1,0,0,0
176,189378,Room in 650ft sq apt in center and Trendy Paris.,913715,Magda,Entrepôt,48.8716,2.35437,Private room,50,2,134,1,62,12,2,False,0,0,1,0
177,189589,"Bedroom, Paris, Canal St martin",914660,Célia,Entrepôt,48.87193,2.36379,Private room,40,2,32,1,253,1,2,False,0,0,1,0
179,192162,5th Heaven: Quartier Latin Studio,909793,Cristina,Panthéon,48.84851,2.35321,Entire home/apt,76,3,431,1,256,11,2,True,1,0,0,0
180,192540,Bed and Breakfast- Lower Montmartre,932565,Guillaume,Buttes-Montmartre,48.89047,2.35053,Private room,55,3,135,1,222,0,2,False,0,0,1,0
181,193632,Charming Studio - Heart of Marais,777533,Celine,Temple,48.86167,2.35974,Entire home/apt,103,2,505,1,308,33,2,False,1,0,0,0
182,195564,Charming apartment in Paris (13),938912,Mehdi,Gobelins,48.82699,2.37108,Entire home/apt,69,2,39,1,345,0,3,False,1,0,0,0
183,197609,1 bedroom+1 alcove bedroom DOWNTOWN,656386,Emanuele - Maria,Bourse,48.86712,2.34274,Entire home/apt,215,90,6,23,73,0,3,False,1,0,0,0
184,200845,Studio in 16th next to Eiffel Tower,982391,Edouard,Passy,48.86209,2.29239,Entire home/apt,76,30,168,2,270,1,2,False,1,0,0,0
186,205140,Faubourg organic calm bnb Bastille,1008345,Olivier & Barbara,Reuilly,48.84765,2.38669,Private room,88,1,112,2,330,1,2,False,0,0,1,0
187,208080,Duplex in the heart of the Latin Quarter,1024111,Valérie,Panthéon,48.85043,2.34916,Entire home/apt,160,2,211,1,317,0,6,False,1,0,0,0
188,209025,CHARMING FAMILY FLAT IN BATIGNOLLE,1029694,Christophe,Batignolles-Monceau,48.88726,2.32258,Entire home/apt,245,6,13,1,363,0,4,False,1,0,0,0
189,209796,Charming parisian house,1033854,Assia,Buttes-Chaumont,48.88561,2.38427,Private room,50,10,59,1,83,0,2,False,0,0,1,0
190,212853,Wonderful 1-bedroom with view in the ❤ MONTMARTRE,1097498,Agnès Jan,Buttes-Montmartre,48.88636,2.33887,Entire home/apt,155,28,198,1,133,1,2,False,1,0,0,0
191,213360,Paris Montmartre - 1 à 4 personnes,1100291,Laurence,Buttes-Montmartre,48.8912,2.33785,Entire home/apt,80,7,19,1,302,0,4,False,1,0,0,0
192,213667,appartment marais/pompidou,892387,Olivier,Hôtel-de-Ville,48.85881,2.34993,Entire home/apt,111,3,87,1,29,4,4,False,1,0,0,0
193,214046,2 bed Marais Rue Vieille du Temple,438828,Polo,Hôtel-de-Ville,48.8582,2.35849,Entire home/apt,175,30,185,5,27,0,4,False,1,0,0,0
194,214578,Cosy apartment in the best lively area of Paris,972051,Cyril,Entrepôt,48.87392,2.3553,Entire home/apt,139,3,257,1,328,4,4,False,1,0,0,0
197,215763,Chic and cosy central flat,1113807,Franck,Entrepôt,48.87143,2.36354,Entire home/apt,67,3,95,1,51,29,2,False,1,0,0,0
198,216546,"Stylish, Sun-drenched Oberkampf Apt",1117732,Jami And Kris,Popincourt,48.86434,2.37583,Entire home/apt,150,90,1,1,260,0,2,False,1,0,0,0
